"","Year","difference","cal_remain_lag_one","cal_remain_lag_two","cal_remain_lag_three","accumulated_cal","persistent_deficit"
"378",1077,-43172226.82375,0,0,0,-39044802.8083,FALSE
"379",1078,-26594047.76975,0,0,0,-26594047.76975,FALSE
"380",1079,-19808032.576,0,0,0,-19808032.576,FALSE
"381",1080,-12239847.30875,0,0,0,-12239847.30875,FALSE
"382",1081,-22086454.77175,0,0,0,-22086454.77175,FALSE
"383",1082,-28552950.542,0,0,0,-28552950.542,FALSE
"384",1083,-15076648.74225,0,0,0,-15076648.74225,FALSE
"385",1084,-31975273.7845,0,0,0,-31975273.7845,FALSE
"388",1087,-19926097.43925,0,0,0,-4143204.12152498,FALSE
"389",1088,-22110414.5905,0,0,0,-13716525.0151375,FALSE
"390",1089,-20686797.25225,0,0,0,-19268121.392575,FALSE
"391",1090,-11981815.70825,0,0,0,-11981815.70825,FALSE
"392",1091,-126472346,0,0,0,-126472346,TRUE
"393",1092,-7418514.4545,0,0,0,-7418514.4545,FALSE
"395",1094,-122814055,0,0,0,-104922071.464375,TRUE
"397",1096,-18795944.702,0,0,0,-12831950.190125,FALSE
"398",1097,-837514.420499995,0,0,0,-837514.420499995,FALSE
"399",1098,-101599004.89255,0,0,0,-101599004.89255,TRUE
"400",1099,-9461689.362875,0,0,0,-9461689.362875,FALSE
"402",1101,-47213157.83275,0,0,0,-15946167.786625,FALSE
"415",1114,-55148030.678,0,0,0,-2347959.4265,FALSE
"419",1118,-66899219.49925,0,0,0,-36091432.32795,FALSE
"421",1120,-7102969.01899999,0,0,0,-370856.601350006,FALSE
"422",1121,-75980219.3762,0,0,0,-73917536.7464,TRUE
"427",1126,-93547727,0,0,0,-36659272.0536875,FALSE
"433",1132,-92502501,0,0,0,-44263148.5795125,FALSE
"434",1133,-38967497.21975,0,0,0,-17996225.3560625,FALSE
"455",1154,-94592953,0,0,0,-33287903.2632125,FALSE
"457",1156,-93547727,0,0,0,-73090331.5172,FALSE
"459",1158,-92502501,0,0,0,-84291654.7482,TRUE
"519",1218,-59055269,0,0,0,-10263658.5010375,FALSE
