"","V1","V1","Year"
"1",536,0.291666666666667,990
"2",420.083333333333,1,991
"3",621.416666666667,0.833333333333333,992
"4",394.375,0.958333333333333,993
"5",618.666666666667,1,994
"6",366.458333333333,0.916666666666667,995
"7",650,1,996
"8",524.375,1,997
"9",411.875,0.916666666666667,998
"10",471.541666666667,1,999
