Year,difference,cal_remain_lag_one,cal_remain_lag_two,cal_remain_lag_three,accumulated_cal
1193,80632014.94,72568813.45,52410809.71,16126402.99,196165196
1194,63132079.94,56818871.95,41035851.96,12626415.99,194053768.8
1195,117999260.1,106199334.1,76699519.07,23599852.02,240639786.7
1196,61024692.55,54922223.3,39666050.16,12204938.51,224386281.6
1197,90948691.02,81853821.92,59116649.16,18189738.2,235196849.4
1198,47958798.63,43162918.77,31173219.11,9591759.726,193078522.7
1199,72230989.7,65007890.73,46950143.3,14446197.94,186715496.1
1200,-34246255.99,0,0,0,80124592.05
1201,-31383136.33,0,0,0,25158766.7
1202,50877731.38,45789958.24,33070525.39,10175546.28,65323929.32
1203,29252796.07,26327516.46,19014317.44,5850559.213,75042754.3
1204,-31774365.92,0,0,0,27623675.93
1205,75490280.89,67941252.8,49068682.58,15098056.18,104680144.6
1206,-30881768.28,0,0,0,42910043.73
1207,-33863193.83,0,0,0,15205488.75
1208,50146260.37,45131634.34,32595069.24,10029252.07,65244316.55
1209,9487565.84,8538809.256,6166917.796,1897513.168,54619200.18
1210,-24690284.14,0,0,0,16443594.36
1211,50686458.96,45617813.06,32946198.32,10137291.79,66882628.83
1212,75215487.72,67693938.95,48890067.02,15043097.54,122730813.9
1213,32768085.15,29491276.64,21299255.35,6553617.031,133408222.4
1214,68668762.34,61801886.11,44634695.52,13733752.47,157187397.8
1215,-18230835.69,0,0,0,79913403.31
1216,75064016.13,67557614.52,48791610.48,15012803.23,126252328.7
1217,-59055269,0,0,0,22236097.98
1218,-59055269,0,0,0,-10263658.52
1219,118699289,106829360.1,77154537.83,23739857.79,133712092.2
1220,28333043.53,25499739.18,18416478.3,5666608.707,135162403.6
1221,53063177.38,47756859.65,34491065.3,10612635.48,155717454.4
1222,45689549.11,41120594.2,29698206.92,9137909.822,135602744.8
1223,84461029.95,76014926.95,54899669.47,16892205.99,165739298.2
1224,18259183.39,16433265.05,11868469.2,3651836.677,134584952.7
1225,77810833.69,70029750.32,50577041.9,15562166.74,158281678
1226,41989598.1,37790638.29,27293238.76,8397919.619,140780023.6
1227,-56964817,0,0,0,35054699.87
1228,68281740.09,61453566.08,44383131.06,13656348.02,111137145.6
1229,77400744.16,69660669.75,50310483.71,15480148.83,147252229.9
1230,-2730454.716,0,0,0,111313346.1
1231,94468315.52,85021483.96,61404405.08,18893663.1,158435147.2
1232,71141661.91,64027495.72,46242080.24,14228332.38,171643294.7
1233,-26556424.16,0,0,0,98875476.64
1234,74412235.81,66971012.23,48367953.28,14882447.16,139547979.2
1235,101200821.3,91080739.16,65780533.84,20240164.26,182400165.9
1236,53641891.27,48277702.14,34867229.33,10728378.25,193090583.7
1237,64606680.48,58146012.43,41994342.31,12921336.1,193547363.6
1238,66719009.59,60047108.63,43367356.24,13343801.92,179972415.6
1239,53944251.46,48549826.32,35063763.45,10788850.29,166714080.7
1240,77999281.67,70199353.5,50699533.08,15599856.33,182837800.3
1241,59423853.11,53481467.8,38625504.52,11884770.62,178030772
1242,93657626.54,84291863.89,60877457.25,18731525.31,208627477.7
1243,113527939.4,102175145.4,73793160.58,22705587.87,252045164.1
1244,35058967.74,31553070.96,22788329.03,7011793.547,209996341
1245,-39195975,0,0,0,84881781.85
1246,67071923.8,60364731.42,43596750.47,13414384.76,112565840.7
1247,59770966.32,53793869.68,38851128.11,11954193.26,127147491.3
1248,100116214.2,90104592.81,65075539.25,20023242.85,197506834.4
1249,90896932.65,81807239.38,59083006.22,18179386.53,233267038.3
1250,84221369.02,75799232.11,54743889.86,16844273.8,243058340.9
